Bar Boss кафе;Ярославль, трефолева 24/а;75
Check in, тайм-кафе;Ярославль, кирова 13;74
KIA, автосалон;Ярославль, московский пр-кт 80/а;353
Mama Mia, сеть пиццерий;Ярославль, володарского 39;163
Tokio, суши-бар;Ярославль, кирова 10/25;822
Автовокзал г. Ярославль;Ярославль, московский пр-кт 80/а;1241
Автолига, сеть магазинов автотоваров;Ярославль, октября пр-кт 34;54
Автолига, сеть магазинов автотоваров;Ярославль, толбухина пр-кт 37;209
Автолига, сеть магазинов автотоваров;Ярославль, октября пр-кт 34;104
Автолига, сеть магазинов автотоваров;Ярославль, дорожная 6/в;211
Автосалон KIA;Ярославль, тутаевское ш 8;127
Автосалон Nissan;Ярославль, фрунзе пр-кт 34;206
Агенство недвижимости Местпром;Ярославль, свердлова 34;79
Академия труда и социальных отношений, Ярославский филиал;Ярославль, свободы 87/а;5
Амброзия, кафе;Ярославль, красноперекопская 18;146
Арт-кафе Китайский летчик;Ярославль, крестьянский проезд 7;1059
АЦ Ярославль;Ярославль, октября пр-кт 76/а;167
Банкевич Юрий Владимирович;Ярославль, московский пр-кт 90;125
Бар Cuba libre;Ярославль, кирова 7;1696
Бар Крапива;Ярославль, кирова 10;292
Будь здоров!, поликлинический центр;Ярославль, рыбинская 30;103
ВЕРСУС;Ярославль, трефолева 24/а;87
Гаврош, кофейня;Ярославль, кирова 10;804
Головной офис Дом.ru;Ярославль, республиканская 75/б;430
Гостиница Закат;Ярославль, калмыковых 2/а;77
Гостиница Турист;Ярославль, ленина пр-кт 2;1198
Гостиница Юбилейная;Ярославль, которосльная наб 26;2890
ГрандСтрой;Ярославль, чкалова 17/б;2
Гриль-бар;Ярославль, чкалова 25;68
ГТВЦ г. Ярославль;Ярославль, октябрьская б. 30/а;342
Дворец Молодежи;Ярославль, ленина пр-кт 27;621
Дом актера, кафе-бар;Ярославль, кирова 5/а;113
Дудки-бар;Ярославль, собинова 33;507
Европа;Ярославль, свободы 1;781
Запределье;Ярославль, большая федоровская 29;18
ИКЦ ГАРАНТ ИНФО;Ярославль, первомайская 7;42
Интер-Лэнг, школа иностранных языков;Ярославль, ленинградский пр-кт 52/а;165
Капуцин, кофейня-пиццерия;Ярославль, толбухина пр-кт 62;71
Кафе;Ярославль, ушинского 16/а;999
Кафе Yummy Dinner;Ярославль, машиностроителей пр-кт 52;78
Кафе Бульвар;Ярославль, республиканская 82;148
Кафе Вояж;Ярославль, ленинградский пр-кт 66/а;213
Кафе Манилов;Ярославль, володарского 39;65
Кафе Тыква;Ярославль, машиностроителей пр-кт 7;94
Кафе-бар У Палыча;Ярославль, светлая 5/а;18
Киноклуб Нефть;Ярославль, московский пр-кт 92;76
Клуб;Ярославль, свободы 91;842
Клюкина Елена анатольевна;Ярославль, угличская 39;18
Комильфо, центр эстетической медицины;Ярославль, толбухина пр-кт 8;23
Консилиум;Ярославль, революционная 32;22
Кореал;Ярославль, первомайская 9;152
Лайк Хостел;Ярославль, андропова 25/в;338
Либерта;Ярославль, свободы 87/а;64
Ломбард Авангард;Ярославль, трефолева 24/а;60
Магазин Дикон Авто;Ярославль, московский пр-кт 129;144
Магазин строительных материалов Аркада;Ярославль, комсомольская 20/а;67
Монпансье, студия маникюра и педикюра;Ярославль, свободы 79;74
Мясославль магазин;Ярославль, которосльная наб 58;25
Оптимист;Ярославль, володарского 36;709
Опытный завод Прогресс;Ярославль, промышленная 12;42
офис;Ярославль, свободы 46;49
Пиццерия Какаду;Ярославль, чкалова 32;28
Пиццерия Лео;Ярославль, ленинградский пр-кт 67;126
Подростковй клуб Ровестник;Ярославль, свердлова 68;5
Подростковый клую Юность;Ярославль, юности 9/б;5
Проектно-монтажная фирма Теплоцентр;Ярославль, елены колесовой 36/2;60
Производственная компания НПО Регулятор;Ярославль, майорова 8/а;3
Ресторан Monaco;Ярославль, трефолева 17;82
Ресторан У Штирлица;Ярославль, депутатский пер 6;498
Рестораны провинции;Ярославль, свободы 46;75
Ринг Премьер Отель;Ярославль, свободы 55;9062
Самое время, антикафе;Ярославль, трефолева 22;68
Свобода Хостел;Ярославль, свободы 46;644
Свои да Наши;Ярославль, свободы 34/в;328
Свои да Наши Аврора;Ярославль, машиностроителей пр-кт 9;3
СЕМЬЯ ГАМБИНО;Ярославль, нахимсона 16;108
Сеть магазинов автотоваров Автолига;Ярославль, урицкого 44;192
Сидорин;Ярославль, ленинградский пр-кт 37/а;73
СИМ;Ярославль, полушкина роща 11;3405
Славянский ресторан;Ярославль, первомайская 59;322
СТО Маслов, автотехцентр;Ярославль, мышкинский проезд 26;94
Стройгарант;Ярославль, богдановича 20/а;83
Такеши, городское кафе;Ярославль, свободы 32/а;194
Тарелка, суши-бар;Ярославль, первомайская 47;442
Теннисный клуб на Дачной;Ярославль, дачная 3;290
Техноторг;Ярославль, тутаевское ш 54;99
Ткаченко Сергей Леонидович;Ярославль, депутатская 7;22
Фирма по утилизация оргтехники и компьютеров ТехПромРесурс;Ярославль, белинского 28/а;20
Хостел Путник;Ярославль, чехова 46/а;597
Штолле;Ярославль, октября пр-кт 3;109
Я люблю тебя, Жизнь!;Ярославль, нахимсона 18;880
ЯНТА;Ярославль, гоголя 18;15
ЯРБУРГ;Ярославль, чкалова 1/б;14
Ярстик, производственная компания;Ярославль, ленина пр-кт 59/а;8
Городской Wi-Fi;Ярославль, кирова;610
Городской Wi-Fi;Ярославль, стрелка;860
;;
;;
;;
;;
;;
