Адрес;Объект;Все регистрации устройств, шт. в мае 2017 г.
Ярославль, трефолева 24/а;Bar Boss кафе;22
Ярославль, трефолева 24/а;Bar Boss кафе;53
Ярославль, кирова 13;Check in, тайм-кафе;45
Ярославль, кирова 13;Check in, тайм-кафе;29
Ярославль, московский пр-кт 80/а;KIA, автосалон;278
Ярославль, московский пр-кт 80/а;KIA, автосалон;75
Ярославль, володарского 39;Mama Mia, сеть пиццерий;116
Ярославль, володарского 39;Mama Mia, сеть пиццерий;47
Ярославль, кирова 10/25;Tokio, суши-бар;189
Ярославль, кирова 10/25;Tokio, суши-бар;633
Ярославль, московский пр-кт 80/а;Автовокзал г. Ярославль;867
Ярославль, московский пр-кт 80/а;Автовокзал г. Ярославль;374
Ярославль, октября пр-кт 34;Автолига, сеть магазинов автотоваров;54
Ярославль, толбухина пр-кт 37;Автолига, сеть магазинов автотоваров;65
Ярославль, толбухина пр-кт 37;Автолига, сеть магазинов автотоваров;144
Ярославль, октября пр-кт 34;Автолига, сеть магазинов автотоваров;104
Ярославль, дорожная 6/в;Автолига, сеть магазинов автотоваров;170
Ярославль, дорожная 6/в;Автолига, сеть магазинов автотоваров;41
Ярославль, тутаевское ш 8;Автосалон KIA;43
Ярославль, тутаевское ш 8;Автосалон KIA;84
Ярославль, фрунзе пр-кт 34;Автосалон Nissan;136
Ярославль, фрунзе пр-кт 34;Автосалон Nissan;70
Ярославль, свердлова 34;Агенство недвижимости Местпром;53
Ярославль, свердлова 34;Агенство недвижимости Местпром;26
Ярославль, свободы 87/а;Академия труда и социальных отношений, Ярославский филиал;3
Ярославль, свободы 87/а;Академия труда и социальных отношений, Ярославский филиал;2
Ярославль, красноперекопская 18;Амброзия, кафе;47
Ярославль, красноперекопская 18;Амброзия, кафе;99
Ярославль, крестьянский проезд 7;Арт-кафе Китайский летчик;228
Ярославль, крестьянский проезд 7;Арт-кафе Китайский летчик;831
Ярославль, октября пр-кт 76/а;АЦ Ярославль;137
Ярославль, октября пр-кт 76/а;АЦ Ярославль;30
Ярославль, московский пр-кт 90;Банкевич Юрий Владимирович;80
Ярославль, московский пр-кт 90;Банкевич Юрий Владимирович;45
Ярославль, кирова 7;Бар Cuba libre;375
Ярославль, кирова 7;Бар Cuba libre;1321
Ярославль, кирова 10;Бар Крапива;229
Ярославль, кирова 10;Бар Крапива;63
